example_id                                                       | status | run_time        |
./spec/jekyll/documents/json_index_generator_spec.rb[1:1:3:1]    | passed | 0.00378 seconds |
./spec/jekyll/documents/json_index_generator_spec.rb[1:1:3:2]    | passed | 0.00393 seconds |
./spec/jekyll/documents/json_index_generator_spec.rb[1:1:3:3]    | passed | 0.00379 seconds |
./spec/jekyll/documents/json_index_generator_spec.rb[1:1:3:4]    | passed | 0.00468 seconds |
./spec/jekyll/documents/utils_spec.rb[1:1:1]                     | passed | 0.00061 seconds |
./spec/jekyll/documents/utils_spec.rb[1:1:2]                     | passed | 0.00182 seconds |
./spec/jekyll/documents/utils_spec.rb[1:2:1]                     | passed | 0.00095 seconds |
./spec/jekyll/documents/utils_spec.rb[1:2:2]                     | passed | 0.00195 seconds |
./spec/jekyll/documents/utils_spec.rb[1:2:3]                     | passed | 0.00189 seconds |
./spec/jekyll/documents/utils_spec.rb[1:2:4]                     | passed | 0.00096 seconds |
